Id,Requirement
581,foEs
582,foF2
38,Fraction of Absorbed PAR (FAPAR)
277,Fraction of Absorbed PAR (FAPAR)
359,Fraction of Absorbed PAR (FAPAR)
664,Fraction of Absorbed PAR (FAPAR)
751,Fraction of Absorbed PAR (FAPAR)
827,Fraction of Absorbed PAR (FAPAR)
720,Freezing level height in clouds
752,Geoid
612,Geomagnetic field
613,Geomagnetic field
614,Geomagnetic field
665,Glacier cover
826,Glacier cover
666,Glacier topography
667,Ground water
583,h&#039;F
922,HCHO mole fraction 
923,HCHO mole fraction 
924,HCHO mole fraction 
140,HCHO Total Column
900,HCHO Total Column
902,HCHO Tropospheric column
925,HCHO Tropospheric column
805,HCHO Tropospheric column
903,HCHO Tropospheric column
160,HCl
741,Heavy ion angular flux energy and mass spectrum
742,Heavy ion angular flux energy and mass spectrum
437,Height of the top of PBL
724,Height of the top of PBL
438,Height of the tropopause
588,Heliospheric image
589,hmF2
163,HNO3
5,Ice sheet topography
88,CO2 mole fraction
89,CO2 mole fraction
90,CO2 mole fraction
91,CO2 mole fraction
156,CO2 mole fraction
767,CO2 mole fraction
796,CO2 mole fraction
870,CO2 mole fraction
873,CO2 Mole fraction (BG)
874,CO2 Mole fraction (BG)
871,CO2 Mole fraction (SR)
872,CO2 Mole fraction (SR)
800,CO2 Tropospheric Column
550,Coastal sea level (tide)
842,Coastal sea level (tide)
196,Colour Dissolved Organic Matter (CDOM)
750,Colour Dissolved Organic Matter (CDOM)
157,COS
576,Cosmic ray neutron flux
777,Dew Point Temperature
551,Dissolved inorganic carbon  (DIC)
695,Dissolved inorganic carbon  (DIC)
851,Dissolved inorganic carbon  (DIC)
272,Dominant wave direction
356,Dominant wave direction
646,Dominant wave direction
273,Dominant wave period
357,Dominant wave period
494,Dominant wave period
495,Dominant wave period
496,Dominant wave period
497,Dominant wave period
498,Dominant wave period
647,Dominant wave period
744,Dominant wave period
95,Downward long-wave irradiance at Earth surface
275,Downward long-wave irradiance at Earth surface
702,Downward long-wave irradiance at Earth surface
787,Downward long-wave irradiance at Earth surface
35,Downward short-wave irradiance at Earth surface
93,Downward short-wave irradiance at Earth surface
274,Downward short-wave irradiance at Earth surface
701,Downward short-wave irradiance at Earth surface
788,Downward short-wave irradiance at Earth surface
94,Downward short-wave irradiance at TOA
230,Downward short-wave irradiance at TOA
786,Downward short-wave irradiance at TOA
358,Earth surface albedo
662,Earth surface albedo
700,Earth surface albedo
861,CH3OH Mole Fraction
887,CH4 column average dry air mixing ratio 
884,CH4 column average dry air mixing ratio 
885,CH4 column average dry air mixing ratio 
886,CH4 column average dry air mixing ratio 
75,CH4 mole fraction
76,CH4 mole fraction
77,CH4 mole fraction
78,CH4 mole fraction
79,CH4 mole fraction
80,CH4 mole fraction
141,CH4 mole fraction
797,CH4 mole fraction
798,CH4 mole fraction
879,CH4 mole fraction
880,CH4 Mole fraction (BG)
881,CH4 Mole fraction (BG)
882,CH4 Mole fraction (SR)
883,CH4 Mole fraction (SR)
801,CH4 Tropospheric column
